LABID,YEAR,SEROTYPE,MLST,PBP1a,PBP2b,PBP2x,PEN,AMO,MER,TAX,CFT,CFX
0036-00,1999,19F,651,13,16,47,MIC = 1,MIC = 1,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
0042-99,1998,23A,338,0,1,48,MIC = 0.25,MIC = 0.25,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0043-99,1998,23F,37,27,38,52,MIC = 8,MIC = 8,MIC > 1,MIC = 8,MIC = NA,MIC > 2
0068-99,1998,8,1480,3,5,5,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0074-99,1998,18C,113,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0103-99,1998,4,244,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0104-99,1998,14,782,35,33,36,MIC = 2,MIC = 2,MIC = 0.25,MIC = 1,MIC = NA,MIC > 2
0117-99,1998,14,199,6,40,52,MIC = 0.5,MIC = 0.12,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC <= 0.5
0131-99,1998,23F,33,0,0,53,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0133-99,1998,18C,9513,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0165-01,2000,NA,81,15,12,18,MIC = 2,MIC = 1,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
0181-01,2000,NA,13,27,36,8,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0205-99,1998,18C,113,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0223-99,1998,14,124,23,26,49,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0236-99,1998,1,227,23,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0237-99,1998,19A,199,0,29,11,MIC = 0.12,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC = NA,MIC <= 0.5
0246-00,1999,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0250-00,1999,23F,36,0,0,83,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0254-01,2000,NA,13,27,36,8,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0265-02,2001,23F,37,27,38,52,MIC = 8,MIC = 8,MIC > 1,MIC = 8,MIC = NA,MIC > 2
0283-99,1998,4,695,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0293-99,1998,4,205,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC = NA
0328-99,1998,06B,9922,39,37,51,MIC = 2,MIC = 4,MIC = 0.5,MIC = 4,MIC = NA,MIC > 2
0337-02,2001,14,124,23,26,34,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0351-00,1999,5,289,23,0,32,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0392-00,1999,18B,9565,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0431-00,1999,19F,425,2,4,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0444-99,1998,23F,242,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0450-99,1998,23F,124,23,26,34,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0452-99,1998,06B,384,40,36,55,MIC = 2,MIC = 2,MIC > 1,MIC = 1,MIC = NA,MIC > 2
0473-00,1999,23F,629,12,0,57,MIC = 0.06,MIC = 0.06,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0474-00,1999,14,13,2,0,50,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0487-00,1999,18C,496,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0490-00,1999,4,695,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0499-99,1998,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0518-99,1998,14,13,2,0,50,MIC = 0.06,MIC <= 0.03,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC <= 0.5
0525-01,2000,NA,1269,1,0,78,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0536-02,2001,12F,220,0,0,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0545-99,1998,06B,138,0,0,61,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC = 0.25,MIC = NA,MIC = 1
0568-00,1999,4,244,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0579-00,1999,09V,643,19,39,46,MIC = 0.25,MIC = 0.25,MIC = 0.12,MIC = 0.12,MIC = NA,MIC = 1
0581-99,1998,18C,113,0,4,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0584-99,1998,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0586-99,1998,22F,433,1,2,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0588-00,1999,4,205,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0602-99,1998,11A,62,2,6,10,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0605-99,1998,23F,81,15,12,18,MIC = 4,MIC = 2,MIC = 1,MIC = 2,MIC = NA,MIC > 2
0635-99,1998,4,899,0,0,3,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0648-00,1999,4,695,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0648-99,1998,14,67,38,16,36,MIC = 2,MIC = 2,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
0667-00,1999,9V,1269,1,0,54,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0672-00,1999,18C,3065,2,0,0,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0683-00,1999,19F,177,23,0,139,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0692-00,1999,06B,384,41,36,36,MIC = 2,MIC = 4,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0702-00,1999,06B,384,48,36,8,MIC = 4,MIC = 8,MIC = 1,MIC = 1,MIC = NA,MIC > 2
0711-00,1999,15C,199,8,6,86,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0728-99,1998,19A,199,0,29,11,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0736-99,1998,19A,1936,25,16,85,MIC = 2,MIC = 2,MIC = 0.5,MIC = 0.5,MIC = NA,MIC > 2
0752-99,1998,09V,156,15,12,18,MIC = 4,MIC = 2,MIC = 0.5,MIC = 1,MIC = NA,MIC > 2
0760-99,1998,6A/6B,9560,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0761-99,1998,09V,162,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0767-99,1998,23F,81,15,12,26,MIC = 4,MIC = 2,MIC = 0.5,MIC = 4,MIC = NA,MIC > 2
0769-99,1998,14,13,2,0,50,MIC = 0.25,MIC <= 0.03,MIC = 0.12,MIC = 1,MIC = NA,MIC > 2
0811-00,1999,14,16,27,36,8,MIC = 2,MIC = 4,MIC = 0.5,MIC = 1,MIC = NA,MIC = 1
0814-00,1999,4,9557,12,0,3,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0840-99,1998,09V,162,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0853-99,1998,1,303,2,44,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0867-99,1998,23F,439,12,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0869-99,1998,23F,439,12,0,3,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0880-99,1998,09V,162,1,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0883-99,1998,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0890-99,1998,09V,156,15,12,18,MIC = 0.12,MIC = 0.12,MIC <= 0.06,MIC = 0.12,MIC = NA,MIC <= 0.5
0892-99,1998,09V,1269,1,0,54,MIC = 0.06,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0934-99,1998,06B,"23,6,1,2,6,3,n",34,41,56,MIC = 1,MIC = 1,MIC = 0.25,MIC = 0.5,MIC = NA,MIC = 2
0936-99,1998,19F,193,1,0,60,MIC <= 0.03,MIC <= 0.03,MIC = NA,MIC = NA,MIC = NA,MIC <= 0.5
0937-00,1999,18C,496,0,0,0,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0939-00,1999,14,13,27,36,8,MIC = 4,MIC = 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
0939-99,1998,06A,376,42,42,8,MIC = 0.5,MIC = 0.5,MIC = 0.12,MIC = 0.12,MIC = NA,MIC = 1
0940-00,1999,14,124,23,26,2,MIC <= 0.03,MIC <= 0.03,MIC <= 0.06,MIC <= 0.06,MIC = NA,MIC <= 0.5
0942-00,1999,14,13,27,36,8,MIC = 8,MIC > 8,MIC > 1,MIC = 2,MIC = NA,MIC > 2
