"LABID","PT","Penicillin","Amoxicillin","Meropenem","Cefotaxime","Ceftriaxone","Cefuroxime"
"2013209113","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013208478","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"8559-07","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20153232","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013205806","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2010226037","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2009213981","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20153425","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2009214119","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20153310","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2012219840","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20153192","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2010220270","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013212457","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2010206716","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20154258","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"3901-05","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2012217982","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2009218325","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013201122","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2009216461","0-0-0",0.06,0.06,0.06,0.06,0.5,0.5
"2014201553","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20153197","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013224921","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"8367-07","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013024470","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2010223250","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20152810","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2014205714","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"4308-04","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20154670","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"6072-07","0-0-0",0.03,0.03,0.12,0.06,0.5,0.5
"2013208490","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20153277","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20152672","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"7886-05","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"20153201","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2008227516","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013227080","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"5773-06","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2013220175","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
"2009212801","0-0-0",0.03,0.03,0.06,0.06,0.5,0.5
