"LABID","PT","D1","D2"
"2013209113","0-0-0",-1.4498080314013,-1.20336339786867
"2013208478","0-0-0",-1.44980803140126,-1.20336339786856
"8559-07","0-0-0",-1.44980803140258,-1.2033633978693
"20153232","0-0-0",-1.44980803140189,-1.2033633978691
"2013205806","0-0-0",-1.44980803140305,-1.20336339786958
"2010226037","0-0-0",-1.44980803140099,-1.20336339786835
"2009213981","0-0-0",-1.44980803140307,-1.20336339786972
"20153425","0-0-0",-1.44980803140123,-1.20336339786856
"2009214119","0-0-0",-1.44980803140186,-1.20336339786891
"20153310","0-0-0",-1.44980803140224,-1.20336339786936
"2012219840","0-0-0",-1.44980803140094,-1.20336339786838
"20153192","0-0-0",-1.44980803140097,-1.20336339786843
"2010220270","0-0-0",-1.4498080314019,-1.20336339786913
"2013212457","0-0-0",-1.44980803140092,-1.2033633978683
"2010206716","0-0-0",-1.4498080314015,-1.20336339786874
"20154258","0-0-0",-1.44980803140119,-1.20336339786861
"3901-05","0-0-0",-1.4498080314018,-1.20336339786889
"2012217982","0-0-0",-1.44980803140211,-1.20336339786916
"2009218325","0-0-0",-1.44980803140216,-1.20336339786928
"2013201122","0-0-0",-1.4498080314017,-1.20336339786884
"2009216461","0-0-0",-0.673426895284138,-0.0671132186965273
"2014201553","0-0-0",-1.44980803140108,-1.20336339786854
"20153197","0-0-0",-1.44980803140312,-1.20336339786979
"2013224921","0-0-0",-1.44980803140298,-1.2033633978695
"8367-07","0-0-0",-1.44980803140076,-1.20336339786814
"2013024470","0-0-0",-1.44980803140391,-1.20336339787034
"2010223250","0-0-0",-1.44980803140108,-1.20336339786844
"20152810","0-0-0",-1.44980803140158,-1.20336339786878
"2014205714","0-0-0",-1.44980803140153,-1.20336339786877
"4308-04","0-0-0",-1.44980803140168,-1.20336339786892
"20154670","0-0-0",-1.44980803140188,-1.20336339786894
"6072-07","0-0-0",-0.692080662044982,-1.81529820970364
"2013208490","0-0-0",-1.44980803140091,-1.20336339786831
"20153277","0-0-0",-1.44980803140355,-1.20336339787004
"20152672","0-0-0",-1.44980803140374,-1.20336339786993
"7886-05","0-0-0",-1.4498080314011,-1.20336339786848
"20153201","0-0-0",-1.449808031401,-1.20336339786846
"2008227516","0-0-0",-1.44980803140382,-1.20336339786996
"2013227080","0-0-0",-1.44980803140211,-1.20336339786909
"5773-06","0-0-0",-1.44980803140218,-1.20336339786909
"2013220175","0-0-0",-1.44980803140452,-1.20336339787047
"2009212801","0-0-0",-1.4498080314028,-1.20336339786959
"20153195","0-0-0",-1.44980803140113,-1.20336339786855
