LABID,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype.x,Source,Year,ErmB,ErmG,ErmT,linB,lnuB,lnuC,lsaE,vgaLC,mefA,mel,parC,tet44,tetM,tetO,tetW,tet40,tetL,tetOW32O,ANT4Ib,ANT6Ia,ANT6Ib,ANT6Ib1,ANT9Ia,APH3IIIa,ANT1,aadE1,aadE2,dfr:1,dfr:2,dfrF,dfrK,folP,cat1,blaZ,pbp2B,pbp2X:1,pbp2X:2,pbp2X:3,mraY
00_3638_4B,2,1,Canada,SYS-BRAIN,5,Pig,2000,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1093404,5,21,Canada,SYS-BRAIN,27,Pig,2008,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no
1112943,5,21,Canada,SYS-OTHER,NA,Pig,2008,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no
1126699,3,2,Canada,SYS-OTHER,17,Pig,2008,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
1129711,7,11,Canada,SYS-BRAIN,29,Pig,2008,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
1148794,1,1,Canada,SYS-BRAIN,NA,Pig,2009,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1152130,5,21,Canada,SYS-OTHER,21,Pig,2009,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
1158584,6,9,Canada,SYS-OTHER,31,Pig,2009,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
1160410,7,11,Canada,SYS-OTHER,NA,Pig,2009,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
1162351,5,21,Canada,RESP,24,Pig,2009,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
1171239,5,21,Canada,SYS-OTHER,NA,Pig,2009,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,yes
1191316,5,21,Canada,SYS-BRAIN,28,Pig,2009,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes
1193601,12,8,Canada,SYS-BRAIN,NA,Pig,2009,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
1197165,6,12,Canada,SYS-BRAIN,NA,Pig,2009,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
1197378,12,8,Canada,SYS-OTHER,9,Pig,2009,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
1209618,9,8,Canada,SYS-OTHER,NA,Pig,2010,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no
1231073,6,9,Canada,SYS-BRAIN,31,Pig,2010,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
1231255,3,2,Canada,RESP,19,Pig,2010,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
1248867,5,21,Canada,RESP,NA,Pig,2010,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes
