LABID,Strain,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,Amoxicillin,Cefquinome,Ceftiofur,Penicillin
00_3638_4B,00-3638-4B,2,1.0,Canada,SYS-BRAIN,5,Pig,2000.0,0.03,0.03,0.12,0.03
1093404,1093404,5,21.0,Canada,SYS-BRAIN,27,Pig,2008.0,0.12,0.12,1.0,0.5
1112943,1112943,5,21.0,Canada,SYS-OTHER,,Pig,2008.0,0.03,0.06,0.5,0.25
1126699,1126699,3,2.0,Canada,SYS-OTHER,17,Pig,2008.0,0.12,0.12,0.5,1.0
1129711,1129711,7,11.0,Canada,SYS-BRAIN,29,Pig,2008.0,0.03,0.06,0.12,0.06
1148794,1148794,1,1.0,Canada,SYS-BRAIN,,Pig,2009.0,0.03,0.03,0.12,0.03
1152130,1152130,5,21.0,Canada,SYS-OTHER,21,Pig,2009.0,0.03,0.06,0.25,0.25
1158584,1158584,6,9.0,Canada,SYS-OTHER,31,Pig,2009.0,0.03,0.03,0.12,0.03
1160410,1160410,7,11.0,Canada,SYS-OTHER,,Pig,2009.0,0.06,0.12,1.0,2.0
1162351,1162351,5,21.0,Canada,RESP,24,Pig,2009.0,0.12,0.25,1.0,4.0
1171239,1171239,5,21.0,Canada,SYS-OTHER,,Pig,2009.0,0.06,0.12,2.0,4.0
1191316,1191316,5,21.0,Canada,SYS-BRAIN,28,Pig,2009.0,0.03,0.12,0.5,0.25
1193601,1193601,12,8.0,Canada,SYS-BRAIN,,Pig,2009.0,0.03,0.03,0.12,0.03
1197165,1197165,6,12.0,Canada,SYS-BRAIN,,Pig,2009.0,0.03,0.12,1.0,0.5
1197378,1197378,12,8.0,Canada,SYS-OTHER,9,Pig,2009.0,0.03,0.03,0.12,0.03
1209618,1209618,9,8.0,Canada,SYS-OTHER,,Pig,2010.0,0.06,0.03,0.25,1.0
1231073,1231073,6,9.0,Canada,SYS-BRAIN,31,Pig,2010.0,0.06,0.06,0.25,0.03
1231255,1231255,3,2.0,Canada,RESP,19,Pig,2010.0,0.06,0.06,0.5,0.5
1248867,1248867,5,21.0,Canada,RESP,,Pig,2010.0,0.06,0.06,4.0,4.0
1269330,1269330,5,21.0,Canada,SYS-BRAIN,21,Pig,2011.0,0.03,0.12,0.5,0.12
1270935,1270935,5,21.0,Canada,SYS-OTHER,28,Pig,2011.0,0.12,0.12,4.0,4.0
1348170,1348170,5,21.0,Canada,SYS-OTHER,13,Pig,2011.0,0.06,0.25,1.0,1.0
1378494,1378494,12,8.0,Canada,UNKNOWN,25,Pig,2012.0,0.03,0.03,0.25,0.03
1442765,1442765,12,8.0,Canada,SYS-OTHER,16,Pig,2012.0,0.06,0.06,1.0,0.5
1456898,1456898,5,21.0,Canada,UNKNOWN,,Pig,2013.0,0.03,0.12,1.0,4.0
1462648,1462648,18,4.0,Canada,SYS-OTHER,14,Pig,2013.0,0.03,0.03,0.12,0.03
1463646,1463646,18,4.0,Canada,SYS-BRAIN,14,Pig,2013.0,0.03,0.03,0.12,0.03
1464747,1464747,32,5.0,Canada,UNKNOWN,8,Pig,2013.0,0.03,0.06,0.25,0.06
1464749,1464749,18,4.0,Canada,SYS-OTHER,14,Pig,2013.0,0.03,0.03,0.12,0.03
1465473,1465473,18,4.0,Canada,SYS-OTHER,14,Pig,2013.0,0.03,0.03,0.25,0.03
1466571,1466571,7,11.0,Canada,SYS-BRAIN,,Pig,2013.0,0.06,0.06,0.5,1.0
1475186,1475186,22,24.0,Canada,SYS-OTHER,3,Pig,2013.0,0.03,0.03,0.12,0.03
1477528,1477528,22,25.0,Canada,UNKNOWN,3,Pig,2013.0,0.03,0.015,0.12,0.03
1478991,1478991,32,5.0,Canada,RESP,8,Pig,2013.0,0.03,0.03,0.25,0.03
1481256,1481256,32,5.0,Canada,UNKNOWN,8,Pig,2013.0,0.03,0.06,0.25,0.03
1481257,1481257,32,5.0,Canada,SYS-OTHER,8,Pig,2013.0,0.03,0.06,0.5,0.03
1491188,1491188,2,1.0,Canada,RESP,23,Pig,2013.0,0.03,0.03,0.12,0.03
1493634,1493634,32,5.0,Canada,UNKNOWN,16,Pig,2013.0,0.03,0.03,0.25,0.03
1505307,1505307,14,,Canada,UNKNOWN,16,Pig,2013.0,0.06,0.12,2.0,2.0
1506978,1506978,6,10.0,Canada,SYS-BRAIN,,Pig,2013.0,0.03,0.03,0.12,0.03
1506989,1506989,12,8.0,Canada,SYS-OTHER,16,Pig,2013.0,0.06,1.0,4.0,1.0
1508445,1508445,2,1.0,Canada,SYS-BRAIN,23,Pig,2013.0,0.03,0.03,0.12,0.03
1514647,1514647,5,21.0,Canada,RESP,28,Pig,2013.0,0.03,0.06,0.5,0.12
1521251,1521251,1,1.0,Canada,SYS-BRAIN,,Pig,2013.0,0.03,0.015,0.12,0.03
1522228,1522228,1,1.0,Canada,SYS-BRAIN,23,Pig,2013.0,4.0,0.5,0.5,2.0
1588531,1588531,18,4.0,Canada,UNKNOWN,1,Pig,2014.0,0.03,0.03,0.12,0.03
